JAC 2019	Acetamide, 2-cyano-	Norpseudoephedrine	dl-Phenylephrine	Carbon dioxide	Argon	N-Methyltaurine	Oxalic acid	1-Propanol, 2-amino-, (±)-	Ethyne, fluoro-	Acetaldehyde	Hydroxyurea	Acetamide, 2-fluoro-	n-Hexylmethylamine	R-(-)-Cyclohexylethylamine	Silane, methyl-	Alanine	Formic acid	2-Propanamine	2-Pentanamine, 4-methyl-	2-Hexanamine, 4-methyl-	sec-Butylamine	Acetone	Oxirane, trimethyl-	4-Amino-1-butanol	Isopropyl Alcohol	Dimethylamine	Methylene chloride	Cyclopentane	a-Aminoisobutyronitrile	Propanal, 2-methyl-	Octodrine	Silanol, trimethyl-	Carbamic acid, methyl ester	1,3-Butanediol	2-Butanone	Pyridinium, dinitromethylide-	Glycine	(-)-Norephedrine	Propanoic acid, chloro-2-hydroxy-	Methanesulfonylacetic acid	Cephaloridine	6-Dimethyl(trimethylsilyl)silyloxytetradecane	2-Dimethyl(trimethylsilyl)silyloxytridecane	Disiloxane, hexamethyl-	Pyridine, 2-nitro-	Benzene	2-Dimethyl(trimethylsilyl)silyloxytetradecane	Butanal, 3-hydroxy-	Butanal, 3-methyl-	Butanal, 2-methyl-	Ethylenediamine	1-Propanol, 3-amino-	1-Butanol	Ethanol, 2-(methylamino)-	Acetic acid	Propane, 2-(ethenyloxy)-	2-Pentanone	Pentanal	2-Oxa-1,3-disilacyclohexane, 1,1,3,3-tetramethyl-	Disulfide, dimethyl	Methyl Isobutyl Ketone	Silanediol, dimethyl-	L-Serine, O-(phenylmethyl)-	Toluene	Amphetamine	Benzeneethanamine	8,9,9,10,10,11-Hexafluoro-4,4-dimethyl-3,5-dioxatetracyclo[5.4.1.0(2,6).0(8,11)]dodecane	Octane	Ethanol, 2-nitro-, propionate (ester)	Cyclotrisiloxane, hexamethyl-	tert-Butyldimethylsilyl trifluoromethanesulfonate	1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-	N-2,4-Dnp-L-arginine	Cystine	Pyrrole	Succindialdehyde	1-(4-Acetamidoanilino)-3,7-dimethylbenzo[4,5]imidazo[1,2-a]pyridine-4-carbonitrile	1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane	Tricyclo[4.3.1.1(3,8)]undecane-3-carboxylic acid	1,3-bis[(2Z)-Hex-2-en-1-yloxy]-1,1,3,3-tetramethyldisiloxane	1-Propanamine, N,2-dimethyl-	Hydrazinecarboxamide	1-Octanamine, N-methyl-	Cyclopropyl carbinol	Trisiloxane, octamethyl-	9,12,15-Octadecatrienoic acid, 2-[(trimethylsilyl)oxy]-1-[[(trimethylsilyl)oxy]methyl]ethyl ester, (Z,Z,Z)-	Butanoic acid	Propanedioic acid, propyl-	12,15-Octadecadiynoic acid, methyl ester	Ethylbenzene	1,3-Cyclopentadiene, 5-(1-methylethylidene)-	D-erythro-Pentose, 2-deoxy-	l-Gala-l-ido-octose	Nonane	Heptanal	3-Trifluoroacetoxydodecane	4-Cyclopropylcarbonyloxytridecane	Pentanoic acid, heptyl ester	4-Heptanone	Butanoic acid, 3-methyl-	Hexanoic acid, 2-methyl-	3-Pyridinecarboxaldehyde, O-acetyloxime, (E)-	Styrene	Silane, trimethyl(phenethylthio)-	Benzenemethanol, 2-(2-aminopropoxy)-3-methyl-	2-Heptanone	1,3-Adamantanediacetamide	Pentanoic acid	1H-Pyrrole, 2,5-dihydro-1-nitroso-	Pterin-6-carboxylic acid	Cyclotetrasiloxane, octamethyl-	Benzene, propyl-	Androstane-11,17-dione, 3-[(trimethylsilyl)oxy]-, 17-[O-(phenylmethyl)oxime], (3a,5a)-	Benzeneethanamine, N-methyl-	Oxime-, methoxy-phenyl-_	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-4-methyl-	Benzene, 1,2,4-trimethyl-	N-[5-(1-Cyano-2-furan-2-yl-vinyl)-[1,3,4]thiadiazol-2-yl]-benzamide	3,6-Octadecadiynoic acid, methyl ester	Decane	Disiloxane, 1,3-diethoxy-1,1,3,3-tetramethyl-	Pyrazole[4,5-b]imidazole, 1-formyl-3-ethyl-6-ß-d-ribofuranosyl-	Benzene, 1-ethyl-2-methyl-	Mesitylene	Benzene, 1,2,3-trimethyl-	Tetrasiloxane, decamethyl-	Octanal	Cyclopentaneundecanoic acid	9-Octadecen-12-ynoic acid, methyl ester	Z,Z,Z-4,6,9-Nonadecatriene	5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-	1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-	Benzene, 4-ethyl-1,2-dimethyl-	Octadecane, 1-(ethenyloxy)-	2-Trifluoroacetoxydodecane	Arginine	1-Hexanol, 2-ethyl-	1-Pentanol, 2-ethyl-4-methyl-	Octane, 4-chloro-	Phenprobamate	3-tert-Butyl-5-chloro-2-hydroxybenzophenone	Phenol	9-Octadecenoic acid (Z)-, phenylmethyl ester	Carbamic acid, phenyl ester	Phenyl-ß-D-glucoside	3-Nonynoic acid	5-Cyclopropylcarbonyloxypentadecane	Ethyl iso-allocholate	Spironolactone	Pyridine-3-carboxamide, 1,2-dihydro-4,6-dimethyl-2-thioxo-	Cyclopentasiloxane, decamethyl-	Acetophenone	Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester	?-Chlorobutyrophenone	3-Benzoylmethyl-3-hydroxy-5-nitro-2-indolinone	Benzenemethanol, a-[(methylamino)methyl]-	Nonanal	Imidazole, 2-amino-5-[(2-carboxy)vinyl]-	Carbamic acid, N-[10,11-dihydro-5-(2-methylamino-1-oxoethyl)-3-5H-dibenzo[b,f]azepinyl]-, ethyl ester	Phenol, 3-methyl-	Benzyl alcohol, p-hydroxy-a-[(methylamino)methyl]-	1-(5-Bicyclo[2.2.1]heptyl)ethylamine	3-Trifluoroacetoxypentadecane	DL-Cystine	Levomenthol	2-Nonynoic acid	E,E-1,9,17-Docasatriene	Decanal	9-Tetradecen-1-ol, acetate, (E)-	Cyclohexasiloxane, dodecamethyl-	Tetradecanoic acid, 2-hydroxy-	Carbromal	Cycloheptasiloxane, tetradecamethyl-	1,4-Bis(trimethylsilyl)benzene	1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-	Phenol, 2,4-bis(1,1-dimethylethyl)-	Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-	Heptacosane
Chemicals/Rention Time	0.4224	0.4336	0.4361	0.5745	0.5816	0.6738	0.9412	1.1384	1.1988	1.2136	1.2171	1.2381	1.5115	1.5472	1.5625	1.5864	1.6145	1.6452	1.6608	1.699	1.7134	1.7751	1.8084	1.8219	1.8625	1.8626	1.9841	2.0319	2.104	2.2258	2.2326	2.591	2.6341	2.6431	2.6481	2.7293	2.7317	2.7577	2.8225	2.8341	2.9092	2.9853	2.986	3.0592	3.1262	3.1299	3.2175	3.2961	3.3016	3.3022	3.4183	3.4381	3.4499	3.4527	3.5466	3.5989	3.6028	3.6785	4.0191	4.1465	4.1776	4.3143	4.3201	4.3208	4.3216	4.3231	4.4201	4.4217	4.4345	4.5535	4.6434	4.6581	4.7108	4.7216	4.726	4.7371	4.7446	4.8141	4.8222	4.8263	4.8475	4.888	4.898	4.9062	5.1563	5.2564	5.2848	5.3642	5.3696	5.3741	5.465	5.496	5.5031	5.5062	5.5068	5.5096	5.51	5.5118	5.6	5.6594	5.7265	5.7652	5.7706	5.7901	5.8301	5.8333	6.0316	6.0738	6.0801	6.1756	6.2466	6.3505	6.3606	6.3787	6.3983	6.4175	6.4434	6.4967	6.5116	6.5269	6.5336	6.5631	6.5721	6.6369	6.787	6.7949	6.9513	6.9559	7.0004	7.0109	7.0129	7.0163	7.0202	7.0495	7.1038	7.1585	7.2011	7.2263	7.2335	7.2692	7.2723	7.3034	7.3873	7.3886	7.4001	7.403	7.4338	7.4398	7.6412	7.6527	7.6559	7.7385	7.8302	7.8332	7.8443	7.8495	7.8534	7.9342	8.0819	8.1112	8.1993	8.2321	8.3098	8.3935	8.5829	8.7001	8.7043	8.7129	8.8107	8.8615	9.2266	10.4346	10.4578	10.517	11.0701	11.0737	11.3854	11.7506	12.2173
Coeliac16-14.txt	1.09263E+7	0	0	7.26403E+7	0	1.17214E+8	1.25253E+8	1249240	622503	0	0	0	0	0	0	0	0	0	0	0	0	1.89977E+7	0	0	0	0	5907440	0	0	0	0	1.51123E+8	0	0	0	0	4445110	0	0	0	0	0	0	8.45907E+7	0	0	3546270	3254640	0	0	0	0	0	905706	2.3045E+7	1.36606E+7	0	0	1696090	0	6.05776E+7	0	0	0	9203150	0	0	0	0	4.29761E+7	0	0	0	2645360	0	0	0	0	1.92726E+7	0	0	0	0	1205830	1.23625E+8	4125530	0	0	2431090	0	4879370	0	3366310	0	0	0	0	0	4566910	0	0	9675330	0	0	2044200	0	2046970	0	1305580	2411370	2.04807E+8	7018580	0	0	0	2.01071E+7	1.07041E+7	7921340	0	5183940	0	0	352572	5610800	4.81051E+7	0	2.81529E+7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coeliac_1-0.txt	0	0	0	1.02577E+8	0	3.28924E+8	0	0	4872130	0	0	0	1041820	0	0	1024780	0	0	823269	698809	0	1.19792E+7	0	0	0	1630160	0	1.80636E+7	0	0	3987530	8.65451E+7	0	2.42728E+7	0	0	3004710	0	4728390	0	0	0	4120130	1.41372E+8	0	0	0	2340550	0	0	1.25424E+7	0	0	0	0	0	1.35875E+7	3174480	2386880	4924050	3.05769E+7	0	0	2.14352E+7	1.02378E+7	0	0	0	0	1.2582E+8	0	0	0	1600140	0	0	0	0	8.3559E+7	0	0	0	0	4458470	9.66994E+7	1199400	0	0	0	2643830	3455950	0	0	0	0	3710020	0	0	7913060	0	0	0	1.99958E+7	0	4503410	4562820	1916320	0	7106160	1973410	1.31749E+8	5196270	0	0	0	2.38054E+7	0	7364570	0	4390160	4973930	0	0	0	4.19196E+7	0	1.05411E+7	0	0	0	0	4062800	0	0	0	0	1886010	0	6038350	0	1599200	0	0	0	0	3595510	0	0	0	0	1921770	2.67882E+7	0	0	0	0	2492370	0	470622	0	0	2541680	782748	0	0	0	1282740	0	0	0	4857000	0	0	0	0	0	5366700	0	0
Coeliac_1-14.txt	4184490	0	1.01479E+7	3.23213E+8	0	0	4.59235E+8	0	1415780	0	0	9604310	0	0	0	7432200	0	0	1995800	0	0	3.59444E+7	0	1.5299E+7	0	0	2.84364E+7	0	779081	0	0	2.21645E+8	0	0	0	0	2.89468E+7	0	0	0	0	0	0	4.87136E+8	0	0	4829590	4815920	0	0	0	3189960	0	0	0	0	1.77824E+7	4483900	1.59518E+7	0	8.40055E+7	0	0	0	0	1.20021E+7	3654290	0	0	3.19864E+8	0	0	0	0	0	0	3263110	1.28543E+8	0	0	0	0	0	0	2.68694E+8	2129700	0	0	3083810	0	0	0	0	0	0	0	6148210	0	6122960	0	0	0	8742560	0	0	0	0	0	1958010	3042210	2.64603E+8	0	4253810	0	0	9029420	0	2.37349E+7	0	0	5890240	0	1006700	0	0	0	3.1339E+7	0	0	0	0	2650020	0	2223370	1.02682E+7	0	0	0	9145370	0	0	0	0	0	0	0	1216040	0	3244150	0	857984	8.70973E+7	0	0	0	0	0	8521000	1244970	1346250	0	0	0	3962910	819152	0	0	0	0	0	1.34816E+7	0	474616	0	378427	0	3740640	0	0
Coeliac_1-28.txt	0	0	0	8236190	0	2.02055E+8	0	276295	4151170	0	0	0	0	2022440	0	1521460	0	0	0	0	942407	5.85393E+7	0	0	0	0	0	2.32055E+7	7028970	0	0	1.91774E+7	0	0	1.00958E+7	0	0	0	1774650	0	0	2477860	0	1.17282E+8	0	0	3267730	4454410	3897880	0	0	0	0	423540	2.0645E+7	0	7.09157E+7	2196550	2108380	3.25263E+7	2.5994E+7	0	0	1.66392E+7	0	0	0	0	3645060	1.12346E+8	0	1.1263E+7	0	1051710	0	3655770	0	0	6.5677E+7	0	0	0	0	5316180	1.02725E+8	2644640	0	0	0	2288630	2854020	0	0	0	3414020	0	0	0	2.17193E+7	0	0	0	1.86081E+7	0	4434730	5428760	1819390	0	2556460	4896400	1.35577E+8	4722610	0	0	0	2.91283E+7	1.81E+7	9586380	0	3226600	6066170	0	0	0	4.22227E+7	0	1.2985E+7	0	0	4072350	0	0	0	0	0	4457860	0	0	1.51444E+7	0	0	935280	0	0	5552230	0	0	0	0	0	0	3.20049E+7	0	0	0	5154270	0	0	0	0	0	0	0	1813020	1309080	0	1623970	0	0	0	3.01738E+7	0	0	4.48263E+7	0	0	8322180	1337940	0
Coeliac_1-56.txt	0	0	0	1.01376E+8	0	0	5.51715E+8	6278830	0	0	0	1.89948E+7	0	0	1.50996E+7	0	0	4696420	1020140	0	0	1.72478E+8	5.55706E+7	0	0	0	9.80602E+7	0	0	0	0	1.98163E+8	4.54573E+7	0	0	0	1.56451E+7	0	0	0	0	0	0	5.19251E+8	0	0	3978400	0	0	0	0	0	0	0	0	0	4.38234E+7	1.02846E+7	1.6754E+7	0	8.50571E+7	0	0	0	1.0072E+7	5231920	0	1.0622E+7	0	3.06934E+8	0	0	0	441998	0	0	3425480	1.44225E+8	0	0	0	0	0	5475500	2.67051E+8	3942760	0	0	0	0	0	0	0	0	3775750	0	3211120	1.01981E+7	2.05329E+7	0	0	0	0	3995280	0	0	2592080	0	927366	3181420	2.45212E+8	0	4094000	0	0	8800640	0	4520490	0	0	6467950	0	1560800	0	2.31703E+7	0	2.6858E+7	0	0	0	0	0	0	1991830	1.00549E+7	3203740	724448	0	5312440	0	0	0	0	1629090	0	0	0	1090530	0	0	1103820	5.8586E+7	0	1593860	0	0	0	1.58147E+7	0	1102200	0	0	0	3322580	370811	0	0	0	0	0	6487390	0	1287960	0	646819	0	4385220	0	7909430
Coeliac_1-7.txt	0	9543120	0	4.68083E+7	0	2.01545E+8	3.2051E+8	0	8654560	0	0	0	810076	0	0	2683940	0	3583440	0	0	0	1.99279E+7	0	0	0	0	4499150	0	0	0	0	3.1272E+7	0	0	0	0	0	478379	0	1849200	1092250	0	0	2.00464E+7	0	0	0	1.12466E+7	0	0	3230130	692395	0	0	7.40342E+7	0	2597620	562595	0	5802060	5407830	2.20884E+7	0	0	2804740	0	0	0	1.3044E+7	5.97277E+7	0	2597650	0	1390700	0	0	0	0	0	3.67772E+7	0	9565080	0	0	1.36364E+8	0	1.00217E+7	5929790	0	0	0	1948320	0	0	3830230	0	5095230	0	1.11404E+7	1.55273E+7	1.09193E+7	0	1.24575E+7	0	3534850	0	0	3.06031E+7	2744510	5031380	1.60053E+8	0	1802700	0	0	4.23389E+7	0	3954450	0	9074610	2816390	1.94036E+7	0	0	0	0	2.25676E+7	0	7981080	0	0	0	0	0	1.1045E+7	0	7954300	3.09889E+7	0	0	0	0	3.23969E+7	0	0	0	0	0	0	0	0	4.78518E+7	1.88022E+7	0	0	0	0	0	2318140	2547590	1.15437E+7	0	0	6737340	665473	0	0	0	1.44388E+7	7817150	1.34258E+7	6143760	0	0	1216300	0	1.19772E+7	0	0
Coeliac_10-0.txt	0	0	6200990	8430220	0	2.07502E+8	0	0	4034320	0	0	0	0	0	0	3618980	0	2117950	0	0	0	3.02678E+7	0	0	0	4661080	0	1.56219E+7	0	0	0	5.54297E+7	0	0	0	0	2058040	1149660	0	0	0	0	0	3.82084E+7	0	1327030	0	3817860	0	0	0	1558000	0	0	1.79292E+7	0	1.3018E+7	2465970	2706440	0	4.28773E+7	0	0	2.197E+7	0	0	0	0	0	1.41549E+8	5027930	0	0	1679530	0	3303160	0	0	0	1.20624E+8	0	0	0	902978	1.05096E+8	1322860	0	7187790	0	2561490	3868920	0	0	0	3773550	4167180	5864150	0	6428720	0	0	0	2.11564E+7	0	0	1.27813E+7	0	0	1791440	3178000	1.82827E+8	6919050	632701	0	0	4.18978E+7	0	8823290	0	4967270	6332660	0	755237	0	0	5.55308E+7	2.14027E+7	0	0	0	0	0	6546130	0	8589830	0	1537880	5.23425E+7	0	0	0	0	0	0	1.04418E+7	0	0	0	0	4981750	627846	6.4054E+7	0	0	5657230	0	0	1.23638E+7	1836050	0	0	5770580	0	7757990	871968	6.75563E+7	0	0	0	6600690	4.48631E+7	0	0	0	0	0	9710470	6182850	0
Coeliac_10-14.txt	6426310	0	0	1.04951E+8	3.71866E+7	0	0	3460210	0	0	0	0	0	3306990	0	1656280	0	0	999552	0	0	1.99456E+7	0	0	0	0	0	0	932706	0	0	6801480	0	0	0	2676620	0	3996290	0	0	0	0	1160290	0	0	0	0	1325520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1877610	0	0	0	0	2.06674E+7	0	0	0	757448	0	0	1497720	0	0	0	7422190	0	0	2977000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557874	0	0	0	4430120	859571	4389240	0	0	423268	0	0	0	1787090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3496540	0	0	0	0	0	0	0	0	0	0	0	1406030	0	0	0	0	0	0	0	0	0	0	0	0	635824	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coeliac_10-28.txt	9169170	8470830	0	2.6102E+8	0	3.03618E+8	0	0	0	1.27259E+7	0	0	0	0	0	0	1.14758E+7	0	1.58988E+7	0	0	7696400	0	0	2.56901E+7	0	1965830	0	0	0	0	1.38875E+8	0	0	0	0	2431950	846941	0	1.58857E+7	0	0	0	1.53691E+8	5297270	0	1798140	2858260	0	0	0	0	5477120	0	3.3111E+7	1.00024E+7	0	6178190	6223520	0	3.70563E+7	0	2.29864E+7	0	4176470	0	0	6138070	0	3.11551E+8	0	0	7767770	2239750	0	0	0	0	0	7.13768E+7	0	0	0	0	1.99812E+8	1666730	0	9430070	4871110	0	0	0	0	8709700	8277190	0	0	0	3789760	0	0	0	1.14061E+7	0	0	5827710	0	0	0	8847430	2.98491E+8	0	0	0	5.09003E+7	0	0	1.54426E+7	0	0	1.41342E+7	0	0	0	0	5.80063E+7	0	3.90393E+7	0	0	2914810	0	0	4319870	0	0	1886240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3651510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
