JAC 2019	Acetamide, 2-cyano-	Norpseudoephedrine	dl-Phenylephrine	Carbon dioxide	Argon	N-Methyltaurine	Oxalic acid	1-Propanol, 2-amino-, (±)-	Ethyne, fluoro-	Acetaldehyde	Hydroxyurea	Acetamide, 2-fluoro-	n-Hexylmethylamine	R-(-)-Cyclohexylethylamine	Silane, methyl-	Alanine	Formic acid	2-Propanamine	2-Pentanamine, 4-methyl-	2-Hexanamine, 4-methyl-	sec-Butylamine	Acetone	Oxirane, trimethyl-	4-Amino-1-butanol	Isopropyl Alcohol	Dimethylamine	Methylene chloride	Cyclopentane	a-Aminoisobutyronitrile	Propanal, 2-methyl-	Octodrine	Silanol, trimethyl-	Carbamic acid, methyl ester	1,3-Butanediol	2-Butanone	Pyridinium, dinitromethylide-	Glycine	(-)-Norephedrine	Propanoic acid, chloro-2-hydroxy-	Methanesulfonylacetic acid	Cephaloridine	6-Dimethyl(trimethylsilyl)silyloxytetradecane	2-Dimethyl(trimethylsilyl)silyloxytridecane	Disiloxane, hexamethyl-	Pyridine, 2-nitro-	Benzene	2-Dimethyl(trimethylsilyl)silyloxytetradecane	Butanal, 3-hydroxy-	Butanal, 3-methyl-	Butanal, 2-methyl-	Ethylenediamine	1-Propanol, 3-amino-	1-Butanol	Ethanol, 2-(methylamino)-	Acetic acid	Propane, 2-(ethenyloxy)-	2-Pentanone	Pentanal	2-Oxa-1,3-disilacyclohexane, 1,1,3,3-tetramethyl-	Disulfide, dimethyl	Methyl Isobutyl Ketone	Silanediol, dimethyl-	L-Serine, O-(phenylmethyl)-	Toluene	Amphetamine	Benzeneethanamine	8,9,9,10,10,11-Hexafluoro-4,4-dimethyl-3,5-dioxatetracyclo[5.4.1.0(2,6).0(8,11)]dodecane	Octane	Ethanol, 2-nitro-, propionate (ester)	Cyclotrisiloxane, hexamethyl-	tert-Butyldimethylsilyl trifluoromethanesulfonate	1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-	N-2,4-Dnp-L-arginine	Cystine	Pyrrole	Succindialdehyde	1-(4-Acetamidoanilino)-3,7-dimethylbenzo[4,5]imidazo[1,2-a]pyridine-4-carbonitrile	1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane	Tricyclo[4.3.1.1(3,8)]undecane-3-carboxylic acid	1,3-bis[(2Z)-Hex-2-en-1-yloxy]-1,1,3,3-tetramethyldisiloxane	1-Propanamine, N,2-dimethyl-	Hydrazinecarboxamide	1-Octanamine, N-methyl-	Cyclopropyl carbinol	Trisiloxane, octamethyl-	9,12,15-Octadecatrienoic acid, 2-[(trimethylsilyl)oxy]-1-[[(trimethylsilyl)oxy]methyl]ethyl ester, (Z,Z,Z)-	Butanoic acid	Propanedioic acid, propyl-	12,15-Octadecadiynoic acid, methyl ester	Ethylbenzene	1,3-Cyclopentadiene, 5-(1-methylethylidene)-	D-erythro-Pentose, 2-deoxy-	l-Gala-l-ido-octose	Nonane	Heptanal	3-Trifluoroacetoxydodecane	4-Cyclopropylcarbonyloxytridecane	Pentanoic acid, heptyl ester	4-Heptanone	Butanoic acid, 3-methyl-	Hexanoic acid, 2-methyl-	3-Pyridinecarboxaldehyde, O-acetyloxime, (E)-	Styrene	Silane, trimethyl(phenethylthio)-	Benzenemethanol, 2-(2-aminopropoxy)-3-methyl-	2-Heptanone	1,3-Adamantanediacetamide	Pentanoic acid	1H-Pyrrole, 2,5-dihydro-1-nitroso-	Pterin-6-carboxylic acid	Cyclotetrasiloxane, octamethyl-	Benzene, propyl-	Androstane-11,17-dione, 3-[(trimethylsilyl)oxy]-, 17-[O-(phenylmethyl)oxime], (3a,5a)-	Benzeneethanamine, N-methyl-	Oxime-, methoxy-phenyl-_	Benzene, 1-ethyl-3-methyl-	Benzene, 1-ethyl-4-methyl-	Benzene, 1,2,4-trimethyl-	N-[5-(1-Cyano-2-furan-2-yl-vinyl)-[1,3,4]thiadiazol-2-yl]-benzamide	3,6-Octadecadiynoic acid, methyl ester	Decane	Disiloxane, 1,3-diethoxy-1,1,3,3-tetramethyl-	Pyrazole[4,5-b]imidazole, 1-formyl-3-ethyl-6-ß-d-ribofuranosyl-	Benzene, 1-ethyl-2-methyl-	Mesitylene	Benzene, 1,2,3-trimethyl-	Tetrasiloxane, decamethyl-	Octanal	Cyclopentaneundecanoic acid	9-Octadecen-12-ynoic acid, methyl ester	Z,Z,Z-4,6,9-Nonadecatriene	5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)-	1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-	Benzene, 4-ethyl-1,2-dimethyl-	Octadecane, 1-(ethenyloxy)-	2-Trifluoroacetoxydodecane	Arginine	1-Hexanol, 2-ethyl-	1-Pentanol, 2-ethyl-4-methyl-	Octane, 4-chloro-	Phenprobamate	3-tert-Butyl-5-chloro-2-hydroxybenzophenone	Phenol	9-Octadecenoic acid (Z)-, phenylmethyl ester	Carbamic acid, phenyl ester	Phenyl-ß-D-glucoside	3-Nonynoic acid	5-Cyclopropylcarbonyloxypentadecane	Ethyl iso-allocholate	Spironolactone	Pyridine-3-carboxamide, 1,2-dihydro-4,6-dimethyl-2-thioxo-	Cyclopentasiloxane, decamethyl-	Acetophenone	Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester	?-Chlorobutyrophenone	3-Benzoylmethyl-3-hydroxy-5-nitro-2-indolinone	Benzenemethanol, a-[(methylamino)methyl]-	Nonanal	Imidazole, 2-amino-5-[(2-carboxy)vinyl]-	Carbamic acid, N-[10,11-dihydro-5-(2-methylamino-1-oxoethyl)-3-5H-dibenzo[b,f]azepinyl]-, ethyl ester	Phenol, 3-methyl-	Benzyl alcohol, p-hydroxy-a-[(methylamino)methyl]-	1-(5-Bicyclo[2.2.1]heptyl)ethylamine	3-Trifluoroacetoxypentadecane	DL-Cystine	Levomenthol	2-Nonynoic acid	E,E-1,9,17-Docasatriene	Decanal	9-Tetradecen-1-ol, acetate, (E)-	Cyclohexasiloxane, dodecamethyl-	Tetradecanoic acid, 2-hydroxy-	Carbromal	Cycloheptasiloxane, tetradecamethyl-	1,4-Bis(trimethylsilyl)benzene	1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-	Phenol, 2,4-bis(1,1-dimethylethyl)-	Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-	Heptacosane
Chemicals/Rention Time	0.4224	0.4336	0.4361	0.5745	0.5816	0.6738	0.9412	1.1384	1.1988	1.2136	1.2171	1.2381	1.5115	1.5472	1.5625	1.5864	1.6145	1.6452	1.6608	1.699	1.7134	1.7751	1.8084	1.8219	1.8625	1.8626	1.9841	2.0319	2.104	2.2258	2.2326	2.591	2.6341	2.6431	2.6481	2.7293	2.7317	2.7577	2.8225	2.8341	2.9092	2.9853	2.986	3.0592	3.1262	3.1299	3.2175	3.2961	3.3016	3.3022	3.4183	3.4381	3.4499	3.4527	3.5466	3.5989	3.6028	3.6785	4.0191	4.1465	4.1776	4.3143	4.3201	4.3208	4.3216	4.3231	4.4201	4.4217	4.4345	4.5535	4.6434	4.6581	4.7108	4.7216	4.726	4.7371	4.7446	4.8141	4.8222	4.8263	4.8475	4.888	4.898	4.9062	5.1563	5.2564	5.2848	5.3642	5.3696	5.3741	5.465	5.496	5.5031	5.5062	5.5068	5.5096	5.51	5.5118	5.6	5.6594	5.7265	5.7652	5.7706	5.7901	5.8301	5.8333	6.0316	6.0738	6.0801	6.1756	6.2466	6.3505	6.3606	6.3787	6.3983	6.4175	6.4434	6.4967	6.5116	6.5269	6.5336	6.5631	6.5721	6.6369	6.787	6.7949	6.9513	6.9559	7.0004	7.0109	7.0129	7.0163	7.0202	7.0495	7.1038	7.1585	7.2011	7.2263	7.2335	7.2692	7.2723	7.3034	7.3873	7.3886	7.4001	7.403	7.4338	7.4398	7.6412	7.6527	7.6559	7.7385	7.8302	7.8332	7.8443	7.8495	7.8534	7.9342	8.0819	8.1112	8.1993	8.2321	8.3098	8.3935	8.5829	8.7001	8.7043	8.7129	8.8107	8.8615	9.2266	10.4346	10.4578	10.517	11.0701	11.0737	11.3854	11.7506	12.2173
Coeliac16-14.txt	334328	0	0	7071070	0	7254440	9096820	305540	145181	0	0	0	0	0	0	0	0	0	0	0	0	1986540	0	0	0	0	902557	0	0	0	0	1.51519E+7	0	0	0	0	518237	0	0	0	0	0	0	1.47661E+7	0	0	393146	563230	0	0	0	0	0	170695	5428500	1969400	0	0	360886	0	1.24976E+7	0	0	0	1740620	0	0	0	0	9327530	0	0	0	188525	0	0	0	0	3955590	0	0	0	0	139481	2.49054E+7	393708	0	0	426098	0	1018910	0	600648	0	0	0	0	0	1149280	0	0	1108160	0	0	329575	0	355088	0	287313	512004	3.97649E+7	1613010	0	0	0	5163430	2977710	2220630	0	1365730	0	0	98190	1322690	1.01463E+7	0	3771460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coeliac_1-0.txt	0	0	0	8806340	0	1.96725E+7	0	0	1044840	0	0	0	312012	0	0	256429	0	0	237518	201741	0	1542370	0	0	0	242723	0	2757550	0	0	173026	1.2099E+7	0	3037490	0	0	177923	0	576390	0	0	0	383641	2.25759E+7	0	0	0	449911	0	0	1395570	0	0	0	0	0	2726810	478960	516069	1210300	7009260	0	0	4698200	304473	0	0	0	0	2.42676E+7	0	0	0	154971	0	0	0	0	1.56423E+7	0	0	0	0	822899	2.01767E+7	170857	0	0	0	625377	693541	0	0	0	0	807239	0	0	1898410	0	0	0	4196310	0	741081	791366	417973	0	1070480	365777	2.82609E+7	1502130	0	0	0	5754550	0	2197460	0	714887	1535910	0	0	0	9409700	0	1660020	0	0	0	0	508399	0	0	0	0	547082	0	1442130	0	389587	0	0	0	0	468056	0	0	0	0	297698	5513980	0	0	0	0	370219	0	85122	0	0	247245	94239	0	0	0	209892	0	0	0	503303	0	0	0	0	0	673755	0	0
Coeliac_1-14.txt	636036	0	286595	1.14683E+7	0	0	2.30261E+7	0	432323	0	0	1538260	0	0	0	1763030	0	0	548523	0	0	5541950	0	2069550	0	0	3865250	0	84444	0	0	2.89516E+7	0	0	0	0	2811350	0	0	0	0	0	0	6.62632E+7	0	0	526171	748850	0	0	0	540196	0	0	0	0	3495410	709074	3359100	0	1.57048E+7	0	0	0	0	1613930	780405	0	0	5.32891E+7	0	0	0	0	0	0	413233	2.24386E+7	0	0	0	0	0	0	4.8194E+7	349954	0	0	496830	0	0	0	0	0	0	0	1298820	0	1292830	0	0	0	1284500	0	0	0	0	0	219353	641750	5.08753E+7	0	886183	0	0	2499080	0	3708520	0	0	1651330	0	97902	0	0	0	3972270	0	0	0	0	439529	0	544559	1196970	0	0	0	1614360	0	0	0	0	0	0	0	288711	0	413875	0	149311	1.62057E+7	0	0	0	0	0	1066610	170785	128386	0	0	0	769990	94042	0	0	0	0	0	1637810	0	77849	0	68016	0	634712	0	0
Coeliac_1-28.txt	0	0	0	2776960	0	1.18275E+7	0	62847	1037650	0	0	0	0	395301	0	338319	0	0	0	0	204065	5601600	0	0	0	0	0	2969890	248823	0	0	2720330	0	0	1411490	0	0	0	191602	0	0	375636	0	1.93948E+7	0	0	272845	823667	686787	0	0	0	0	93111	4757370	0	1.39607E+7	335991	447934	7908810	5642400	0	0	3766060	0	0	0	0	765096	2.16583E+7	0	1905640	0	130683	0	545762	0	0	1.37441E+7	0	0	0	0	1303870	2.03833E+7	202337	0	0	0	511639	582604	0	0	0	670450	0	0	0	4984820	0	0	0	3792890	0	787381	1028180	375222	0	524755	734180	2.81015E+7	1229900	0	0	0	6300480	2998740	2207500	0	334673	1492790	0	0	0	9335130	0	1946760	0	0	420776	0	0	0	0	0	942102	0	0	2245990	0	0	233399	0	0	838021	0	0	0	0	0	0	6641840	0	0	0	712684	0	0	0	0	0	0	0	342149	182227	0	282101	0	0	0	5785020	0	0	5773630	0	0	1128800	148653	0
Coeliac_1-56.txt	0	0	0	7937790	0	0	2.16385E+7	1610980	0	0	0	2376070	0	0	1833780	0	0	1277390	283980	0	0	2.15622E+7	7257410	0	0	0	1.44041E+7	0	0	0	0	2.64491E+7	3761890	0	0	0	767505	0	0	0	0	0	0	7.05049E+7	0	0	403618	0	0	0	0	0	0	0	0	0	8564880	1634390	3607280	0	1.46014E+7	0	0	0	297304	969444	0	2489210	0	4.99789E+7	0	0	0	84461	0	0	377343	2.40049E+7	0	0	0	0	0	738257	4.84539E+7	600298	0	0	0	0	0	0	0	0	504085	0	336668	1732920	4127060	0	0	0	0	526834	0	0	439734	0	118280	601588	4.67696E+7	0	889746	0	0	2241530	0	1148050	0	0	1719410	0	180574	0	3121980	0	3100810	0	0	0	0	0	0	481938	1209350	666543	77274	0	1381760	0	0	0	0	390777	0	0	0	225961	0	0	144419	1.07722E+7	0	219587	0	0	0	2143170	0	116463	0	0	0	614162	112564	0	0	0	0	0	736646	0	188005	0	135351	0	684502	0	1591900
Coeliac_1-7.txt	0	270398	0	4884950	0	8321700	2.27799E+7	0	2192310	0	0	0	101043	0	0	241758	0	816713	0	0	0	1718990	0	0	0	0	741127	0	0	0	0	3586110	0	0	0	0	0	91101	0	223244	127366	0	0	2136240	0	0	0	2174400	0	0	597318	119322	0	0	2.27145E+7	0	549195	108702	0	1538170	1169380	2631900	0	0	721257	0	0	0	2444070	1.29346E+7	0	500567	0	257498	0	0	0	0	0	7024000	0	1837930	0	0	1.74254E+7	0	1068610	751013	0	0	0	493370	0	0	888094	0	1136650	0	3054880	2432100	2011490	0	2231570	0	512579	0	0	3093600	583198	785437	3.26802E+7	0	160174	0	0	8638760	0	1107170	0	1155790	910892	4575990	0	0	0	0	4018110	0	913745	0	0	0	0	0	1799180	0	1609130	6069780	0	0	0	0	5317030	0	0	0	0	0	0	0	0	1.05114E+7	3677770	0	0	0	0	0	412128	375627	1416150	0	0	873693	147694	0	0	0	3287920	1173820	1736050	706023	0	0	231743	0	2325540	0	0
Coeliac_10-0.txt	0	0	307777	2096240	0	1.59555E+7	0	0	924500	0	0	0	0	0	0	796997	0	393689	0	0	0	2615440	0	0	0	772664	0	2149700	0	0	0	6118450	0	0	0	0	108431	84324	0	0	0	0	0	6656740	0	323938	0	722414	0	0	0	269445	0	0	4448380	0	2708030	455883	507462	0	9717640	0	0	4198830	0	0	0	0	0	2.62841E+7	914306	0	0	141246	0	631582	0	0	0	2.2733E+7	0	0	0	158994	2.35355E+7	180180	0	1015800	0	609128	807630	0	0	0	707940	878405	1433070	0	1637140	0	0	0	4681190	0	0	2765660	0	0	383104	627028	3.76676E+7	1773370	142709	0	0	7822240	0	2596050	0	1271900	1867680	0	173734	0	0	1.20277E+7	3233590	0	0	0	0	0	782921	0	1507270	0	327765	9477030	0	0	0	0	0	0	1752800	0	0	0	0	540826	87511	1.31813E+7	0	0	839190	0	0	2478350	215191	0	0	794105	0	518912	172004	1.25324E+7	0	0	0	849748	8540860	0	0	0	0	0	1478320	676637	0
Coeliac_10-14.txt	671892	0	0	6359670	3243040	0	0	523041	0	0	0	0	0	660469	0	336072	0	0	148014	0	0	2622840	0	0	0	0	0	0	154545	0	0	1164980	0	0	0	379145	0	365768	0	0	0	0	197078	0	0	0	0	168561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147397	0	0	0	0	4398250	0	0	0	75838	0	0	164286	0	0	0	612187	0	0	445176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114418	0	0	0	409100	97411	837490	0	0	65011	0	0	0	327829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420237	0	0	0	0	0	0	0	0	0	0	0	181029	0	0	0	0	0	0	0	0	0	0	0	0	95614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coeliac_10-28.txt	1244470	234848	0	9245130	0	1.52839E+7	0	0	0	814113	0	0	0	0	0	0	858641	0	2760060	0	0	940786	0	0	2202270	0	304021	0	0	0	0	1.37601E+7	0	0	0	0	299097	174950	0	1927860	0	0	0	2.50519E+7	801597	0	332603	507094	0	0	0	0	969062	0	8797010	1325540	0	908519	1288740	0	7639440	0	3190480	0	1006040	0	0	1579240	0	4.93492E+7	0	0	723613	277861	0	0	0	0	0	1.54345E+7	0	0	0	0	3.54057E+7	201083	0	1178750	873978	0	0	0	0	2030040	1852290	0	0	0	1050500	0	0	0	1890080	0	0	1545960	0	0	0	1487040	5.56017E+7	0	0	0	9182340	0	0	2850570	0	0	3577180	0	0	0	0	1.11498E+7	0	6477510	0	0	765441	0	0	1056310	0	0	485010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
