JAC 2019	Carbon dioxide	Oxalic acid	Acetaldehyde	Ethanol	Acetone	"2,3-Epoxybutane"	Cyclopentane	"Propanal, 2-methyl-"	"Butanal, 3-hydroxy-"	Ethylenediamine	1-Propanol	"Formic acid, ethenyl ester"	"1,2,4-Butanetriol"	Acetohydroxamic acid	"Carbamic acid, methyl ester"	"Silanol, trimethyl-"	2-Butanone	"2-Butanol, (R)-"	"1,3-Butanediol"	"Ethanamine, 2,2'-oxybis-"	Tetrahydrofuran	"Propanoic acid, chloro-2-hydroxy-"	"1-Propanol, 2-methyl-"	"Disiloxane, hexamethyl-"	2-Dimethyl(trimethylsilyl)silyloxytetradecane	Pentane	"Butanal, 3-methyl-"	"Butanal, 2-methyl-"	1-Butanol	"1-Propanol, 2-amino-, (±)-"	"2-Butanone, 3-methyl-"	2-Pentanone	Cyclopentanol	Pentanal	"2,3-Pentanedione"	"Butanoic acid, 3-hydroxy-"	Cystine	(-)-Norephedrine	"Butanoic acid, methyl ester"	"2-Propanol, 1,3-dichloro-"	Acetic acid	"Disulfide, dimethyl"	Methyl Isobutyl Ketone	"1-Butanol, 3-methyl-"	"1-Butanol, 3-methyl-, formate"	"Pentanoic acid, 4-methyl-"	Toluene	"Benzeneethanol, a-methyl-"	"Ethanol, 2-nitro-, propionate (ester)"	2-Octene	1-Pentanol	Propanoic acid	2-Hexanone	"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester"	"Propanoic acid, 2-methyl-"	"Tricyclo[4.3.1.1(3,8)]undecane-3-carboxylic acid"	"1,1,3,3-Tetramethyl-1,3-bis[(2Z)-pent-2-en-1-yloxy]disiloxane"	2-Pentanol	Butanoic acid	"Trisiloxane, octamethyl-"	1-Hexanol	Ethylbenzene	l-Gala-l-ido-octose	"1,3-Cyclopentadiene, 5-(1-methylethylidene)-"	DL-Arabinose	"Acetic acid, pentyl ester"	Heptanal	"Butanoic acid, 3-methyl-"	"Butanoic acid, 2-methyl-"	Styrene	2-Heptanone	"2-Hexanone, 4-methyl-"	2-Trifluoroacetoxydodecane	Tetraacetyl-d-xylonic nitrile	Pentanoic acid	"Propanedioic acid, propyl-"	"1H-Pyrrole, 2,5-dihydro-1-nitroso-"	"Cyclotetrasiloxane, octamethyl-"	Amphetamine	"Benzene, propyl-"	"Benzene, 1-ethyl-3-methyl-"	"Benzene, 1-ethyl-4-methyl-"	"Benzene, 1,2,4-trimethyl-"	"Benzene, 1,2,3-trimethyl-"	"D-erythro-Pentose, 2-deoxy-"	Decane	"9,12,15-Octadecatrienoic acid, 2-[(trimethylsilyl)oxy]-1-[[(trimethylsilyl)oxy]methyl]ethyl ester, (Z,Z,Z)-"	"Benzene, 1-ethyl-2-methyl-"	"a-D-Glucopyranoside, O-a-D-glucopyranosyl-(1.fwdarw.3)-ß-D-fructofuranosyl"	Dimethyl trisulfide	Benzaldehyde	Succindialdehyde	2-Octanone	"Tetrasiloxane, decamethyl-"	Hexanoic acid	D-Limonene	Mesitylene	"Pentanoic acid, heptyl ester"	3-(Prop-2-enoyloxy)dodecane	"1-Hexanethiol, 2-ethyl-"	"Octane, 4-chloro-"	"3,6-Octadecadiynoic acid, methyl ester"	3-tert-Butyl-5-chloro-2-hydroxybenzophenone	Phenol	Pterin-6-carboxylic acid	2-Hexadecanol	"Octadecane, 1-(ethenyloxy)-"	"Octadecane, 6-methyl-"	Benzeneacetaldehyde	"12,15-Octadecadiynoic acid, methyl ester"	Chlorozotocin	"Benzeneacetamide, a-ethyl-"	"Glycine, N-[(phenylmethoxy)carbonyl]-"	"Benzene, 4-ethyl-1,2-dimethyl-"	"Cyclopentasiloxane, decamethyl-"	Acetophenone	?-Chlorobutyrophenone	"Cyclohexene, 1-methyl-4-(1-methylethylidene)-"	Nonanal	Paromomycin	"9-Octadecen-12-ynoic acid, methyl ester"	Arginine	"Phenol, 3-methyl-"	p-Cresol	"L-Serine, O-(phenylmethyl)-"	"Benzenemethanol, 2-(2-aminopropoxy)-3-methyl-"	N-Benzyloxycarbonyl-dl-norleucine	3-Trifluoroacetoxypentadecane	Decanal	Tridemorph	Glycylsarcosine	N e-Carbobenzyloxy-L-lysine	?-Guanidinobutyric acid	4-Cyclopropylcarbonyloxytridecane	"Benzyl alcohol, p-hydroxy-a-[(methylamino)methyl]-"	"Cyclohexasiloxane, dodecamethyl-"	"Isoquinoline, decahydro-"	Undecanal	Indole	"Butanoic acid, 4,4'-dithiobis[2-amino-, (R*,R*)-(±)-"	"Butanoic acid, 4,4'-dithiobis[2-amino-, [S-(R*,R*)]-"	"Carbamic acid, N-[10,11-dihydro-5-(2-methylamino-1-oxoethyl)-3-5H-dibenzo[b,f]azepinyl]-, ethyl ester"	"9-Tetradecen-1-ol, acetate, (E)-"	1-Monolinoleoylglycerol trimethylsilyl ether	Heptacosane	"1H-Indole, 3-methyl-"	"1H-Indole, 7-methyl-"	"1H-Indole, 2-methyl-"	"1,2-Benzisothiazol-3-amine tbdms"	Gentamicin a	"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-"	"4-Methoxycarbonylmethylundec-3-enedioic acid, dimethyl ester"	Butylated Hydroxytoluene	"Thieno[2,3-c]furan-3-carbonitrile, 2-amino-4,6-dihydro-4,4,6,6-tetramethyl-"	"1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-"	10-Octadecenal	"1,4-Bis(trimethylsilyl)benzene"	"Octadecane, 3-ethyl-5-(2-ethylbutyl)-"	Ethyl iso-allocholate	"Cyclotrisiloxane, hexamethyl-"
Chemicals/Rention Time	0.6124	0.9546	1.2156	1.6318	1.7713	1.9261	2.0151	2.2024	2.2913	2.381	2.388	2.4376	2.4385	2.4457	2.4585	2.5515	2.6039	2.6736	2.7096	2.7534	2.7595	2.8368	2.975	2.9956	3.0065	3.0077	3.1404	3.2176	3.3697	3.3914	3.4909	3.502	3.563	3.5696	3.5766	3.615	3.6311	3.6602	3.6969	3.8243	3.8678	3.9986	4.0433	4.0883	4.0909	4.1148	4.1599	4.1661	4.2534	4.2593	4.4161	4.4235	4.5599	4.5744	4.6059	4.6497	4.6559	4.8327	4.9039	4.9611	5.0891	5.1512	5.2219	5.2381	5.2675	5.2699	5.2811	5.4107	5.4767	5.5144	5.5653	5.5756	5.6862	5.7624	5.7904	5.8102	5.8563	5.9659	6.0442	6.0585	6.1075	6.1422	6.1801	6.1918	6.2161	6.2287	6.2808	6.3083	6.3582	6.3682	6.4328	6.5087	6.522	6.623	6.6475	6.6579	6.742	6.7878	6.8436	6.8607	6.8741	6.9205	6.9341	7.0069	7.1015	7.103	7.1131	7.1148	7.1993	7.2145	7.2157	7.216	7.2208	7.2583	7.3412	7.4025	7.4064	7.4501	7.4937	7.588	7.5982	7.6426	7.7532	7.7559	7.8833	7.8876	7.9124	7.9316	8.3322	8.3555	8.3709	8.3816	8.3828	8.4308	8.4886	8.7039	9.0203	9.0865	9.6121	9.6349	9.6458	9.6717	9.8131	9.9371	10.121	10.2223	10.2347	10.248	10.3714	10.4221	10.4755	10.4879	10.4912	10.5155	11.124	11.1496	11.163	11.4135	11.5991	11.6178
F0_D0 150_319.txt	6.39E+07	0	2.42E+08	7.78E+07	2.40E+08	6530450	1.69E+07	2.17E+07	6517420	2227640	0	422947	0	0	0	2.20E+07	1.68E+08	0	0	0	0	0	0	0	0	3093610	1.50E+07	3.56E+07	6507360	0	0	4.06E+07	0	9166450	0	0	0	0	0	0	2.20E+08	3.28E+07	4.01E+07	0	4.08E+07	3.12E+07	0	3.86E+07	2.55E+07	0	0	1.19E+08	3.17E+07	0	1.12E+08	0	0	0	2.21E+08	0	0	0	7276310	0	5050020	0	0	1.07E+08	1.27E+08	0	2.78E+07	0	0	0	1.17E+08	0	0	1.85E+07	3860300	0	1.96E+07	0	6351130	0	2773480	0	0	0	2079270	0	1.53E+08	7080970	0	0	1.94E+07	0	3181190	0	0	3895470	0	3152110	0	3.54E+07	3739180	0	0	0	1.53E+07	0	0	0	0	0	1.45E+07	1.99E+07	0	0	1.12E+07	0	0	1558030	2.39E+07	0	0	0	0	0	0	0	2172780	0	0	1178690	1647220	7011410	0	0	0	3024450	0	0	0	0	4135190	2.97E+07	0	0	0	958923	4687780	0	0	1749790	0	0	2121400	0	0	1.30E+07
F0_D0 151_220.txt	5.84E+07	0	3.28E+08	2.64E+07	3.66E+08	1058370	1.52E+07	2.41E+07	6110520	7262070	0	0	0	0	0	1.74E+08	4.52E+08	0	2.97E+07	0	4.64E+07	0	0	0	1.97E+07	0	5.81E+07	7.97E+07	0	0	0	6.43E+07	0	0	3.12E+07	0	0	0	0	0	1.16E+08	2.23E+07	6.76E+07	1.86E+07	0	0	0	0	0	0	0	6.16E+07	3.81E+07	0	0	1.42E+08	0	0	5.41E+07	6.33E+07	0	4140130	0	6985580	1.41E+07	0	7760320	2.91E+07	0	5.70E+07	1.98E+07	0	0	2278370	2.39E+07	0	0	1.27E+08	0	8357430	3.17E+07	1.97E+07	1.46E+07	0	0	1.03E+07	4303080	0	0	0	3.60E+08	9688130	2.77E+07	2.15E+07	0	0	0	0	2691800	0	8349660	1193490	1694470	4.78E+07	3186030	0	0	6431000	0	3995710	0	0	0	4743980	4.27E+07	2.78E+07	0	0	1.48E+07	0	1910990	2864230	3.44E+07	4.68E+08	0	0	0	0	9574990	0	0	3626390	0	0	1080130	1.09E+07	0	0	0	0	4858830	0	0	0	0	0	7.61E+07	0	0	0	2709680	295225	0	315173	873121	0	0	0	0	7.39E+07
F0_D0 153_281.txt	1.40E+08	5.15E+08	0	5.05E+07	4.72E+08	0	1.78E+08	1.09E+07	4260120	2637790	0	1516000	1591190	0	0	2.96E+08	2.92E+08	3.11E+07	0	0	1.89E+07	0	1.48E+08	0	0	0	4.75E+07	0	7192710	0	2.65E+07	0	2.95E+07	0	0	2815700	0	0	5544250	0	4.84E+07	0	0	6.07E+08	0	1.98E+07	5.53E+07	0	0	8936220	0	0	2.71E+07	0	0	4.76E+07	0	0	4.20E+07	6.03E+07	2.86E+07	4083830	0	7917820	2968030	1.07E+07	2452860	0	0	4.02E+07	1.84E+07	0	1703490	0	0	0	3411970	1.39E+08	0	9979830	3.45E+07	1.30E+08	1.51E+07	0	0	1.40E+07	0	1.10E+07	0	0	0	2.30E+07	1.61E+07	1.71E+07	1.02E+07	1.55E+07	9391190	7324720	2589340	0	7720900	3959540	2665410	2.10E+07	665922	6760260	0	0	0	0	0	0	1.71E+07	4284090	4.85E+07	0	1.21E+07	4485950	0	1108140	2640140	0	1.31E+07	0	0	0	0	3208200	0	0	2054390	0	0	1033760	327110	1.92E+07	0	0	0	0	0	666961	0	2384620	2.04E+07	0	0	9489250	526966	0	2206410	0	0	1009890	0	0	0	0	0	8.63E+07
F0_D0 156_316.txt	5.76E+07	2.92E+08	9.41E+07	1.17E+08	2.82E+08	580828	0	1.79E+07	0	4662130	0	4816480	0	0	708096	3.19E+07	9.80E+07	0	6208800	0	0	0	5918920	0	0	0	1.04E+07	9506770	5476880	0	0	6033510	0	0	3372240	0	0	0	0	0	2.81E+08	3949210	8031540	9551960	0	0	2.03E+07	0	5502620	0	0	3.18E+08	0	0	2.07E+08	0	0	0	3.34E+08	4385550	0	0	0	0	0	0	0	3.06E+08	1.23E+08	0	0	0	0	3473230	1.91E+08	0	0	2.45E+07	7460180	0	0	0	0	0	0	0	2890370	0	0	0	1.38E+08	1893370	0	0	2.23E+07	0	0	0	0	1.06E+07	0	0	0	5.87E+07	1.19E+07	7909630	0	0	0	0	1.13E+07	0	0	0	3.95E+07	1.92E+07	0	0	1.84E+07	0	4534240	4731780	0	3.62E+08	0	0	2.52E+07	0	1.09E+07	7176000	0	0	0	0	2001410	2.64E+07	7947860	4928300	2.40E+07	0	0	0	6148810	0	0	0	1.00E+08	0	0	0	3238960	0	0	2658060	0	5318180	1931780	5605520	3016640	7.61E+07
F0_D0 157_218.txt	1.00E+08	2.48E+08	7.79E+07	1.65E+08	3.61E+08	340611	0	2.43E+07	1911540	0	8825880	0	0	0	0	5.35E+07	1.25E+08	2.07E+07	0	0	0	0	9928660	0	0	0	1.67E+07	1.23E+07	4.62E+07	0	0	2.08E+07	0	1.39E+07	0	0	0	0	0	0	1.85E+08	3.04E+07	4.48E+07	1.60E+07	2.57E+07	0	1.08E+07	0	3060240	0	1.75E+08	8.88E+07	2.38E+07	0	1.71E+08	0	0	5227650	4.53E+08	0	0	0	0	1.16E+07	0	0	0	1.86E+08	2.43E+08	0	0	5.88E+07	0	2219530	2.10E+08	0	0	1.14E+08	3317390	1.00E+07	3.21E+07	0	0	1.56E+07	1.05E+07	1.07E+07	0	0	1853140	0	1.84E+08	3022180	2.66E+07	1.59E+07	4.18E+07	2.93E+07	1.05E+07	6092440	0	1.17E+07	0	9853760	0	4.87E+07	1894740	4163280	6068370	0	0	0	0	1.25E+07	0	5481020	4.04E+07	4.21E+07	0	0	9929680	0	3811000	3893250	0	3.12E+07	0	1874470	0	0	4044900	0	0	0	3370760	6152680	2271420	1.20E+07	0	0	0	7423970	0	0	0	0	9739880	0	0	1.31E+07	0	1404760	2864060	0	2976500	1235580	0	0	0	0	0	1.18E+07
F0_D0 158_250.txt	7.17E+07	2.62E+08	3678340	0	2.97E+08	0	1.05E+07	0	3143640	7594640	0	0	0	825243	0	8.44E+07	0	0	0	648909	0	845348	0	9168540	0	0	0	0	0	717509	0	0	0	1447870	0	0	1.08E+07	963999	0	1939970	0	3.74E+08	0	0	0	0	2.62E+07	0	0	0	0	7.73E+07	0	9223150	4.67E+07	0	4.98E+07	0	1.50E+08	4.11E+07	0	0	0	0	0	0	0	3.92E+07	3.83E+07	1.38E+07	0	0	0	0	5.21E+07	4299540	1178790	1.02E+08	3856920	0	1.98E+07	0	4.87E+07	0	7457980	5246410	0	0	0	1.64E+07	0	4433940	0	1.28E+07	5060170	0	0	5604700	0	6198770	0	6890400	0	4.03E+07	1.32E+07	7873500	1.12E+07	0	0	0	0	0	0	0	5.06E+07	4.90E+07	0	0	1.57E+07	0	2527070	2633150	0	1.42E+08	1.54E+07	2509300	0	0	8364350	0	4200500	0	0	1285150	1645030	1.37E+07	0	0	0	1725270	0	0	0	0	1.10E+07	0	0	2.26E+07	0	0	351995	0	0	989966	0	0	4441780	0	0	5.57E+07
F0_D0 160_187.txt	8.91E+07	2.92E+08	0	0	0	0	0	0	6882320	0	0	2024870	0	0	0	1.11E+08	0	0	0	833082	0	0	0	0	0	0	6858990	0	0	1317800	0	0	0	0	0	0	496245	0	0	5279540	2.50E+08	1.96E+08	0	0	7459850	0	0	0	2.02E+08	0	0	0	0	0	0	0	0	0	2.53E+08	0	0	0	0	0	0	0	0	1.25E+08	1.36E+08	0	0	0	0	2319880	1.19E+08	0	0	6.58E+07	3589100	0	1.99E+07	0	5.07E+07	0	2061050	0	0	0	0	7556520	0	3730040	0	9067360	1.48E+07	0	0	0	0	1.63E+07	0	1.18E+07	0	3.35E+07	5742730	1.04E+07	0	0	0	1.33E+07	0	0	0	0	5.47E+07	2.33E+07	0	0	0	1830460	1357730	6190380	0	9.07E+07	0	487542	0	0	6433580	0	0	0	2738980	0	0	3.31E+07	0	0	0	0	0	0	0	0	1.10E+07	0	0	0	0	0	4724970	0	0	1841570	0	0	0	0	0	1.08E+08
F0_D0 174_98.txt	1.63E+08	3.03E+08	1.33E+08	2.61E+08	5.46E+08	4668450	3.57E+07	2.64E+08	0	0	4.50E+07	0	0	0	2.07E+08	0	2.76E+08	1.31E+07	1705910	0	0	0	1.83E+08	0	0	0	2.98E+08	1.85E+08	2.61E+07	0	0	1.81E+07	0	0	0	1.61E+07	0	0	2736110	0	5.30E+08	0	0	3.89E+08	0	3.70E+07	2.44E+08	0	6.93E+08	0	0	0	0	0	1.85E+07	0	0	0	1.75E+07	0	0	0	0	0	4977960	0	0	0	7.99E+08	0	0	0	0	1600320	0	0	0	1.53E+08	9895200	0	2.29E+07	0	0	0	2.36E+08	2.71E+07	0	0	0	0	2.47E+08	0	0	0	6.82E+08	0	0	1.63E+07	0	0	0	0	0	5.51E+07	1.54E+07	1.66E+07	2.18E+07	0	0	0	0	0	0	0	8.12E+07	0	3.64E+07	0	1.85E+07	0	0	9211940	0	2.69E+08	1.86E+07	0	0	0	0	0	0	0	4527520	5861600	0	0	0	0	0	0	3660180	0	0	0	2.04E+07	0	0	2.20E+07	0	0	0	0	0	0	0	0	2397660	0	0	2.90E+07
F0_D0 178_235.txt	5.68E+07	3.31E+08	1.11E+07	0	7.16E+08	0	5.65E+07	0	4981540	1809300	0	0	3715080	910467	0	1.69E+08	2.00E+08	0	1.75E+07	0	2.29E+07	0	0	1.39E+07	0	0	8614770	0	1.50E+07	1732490	0	3.26E+07	8200310	0	0	0	0	0	0	0	5.24E+07	2.68E+07	1.03E+08	0	0	0	3.40E+07	0	0	0	0	0	1.16E+07	0	0	8.44E+07	0	0	3.91E+07	4.71E+07	0	0	0	5256740	4536480	0	3715020	1.21E+07	0	3.82E+07	1.85E+07	0	0	0	0	0	1964620	1.09E+08	3195390	8181120	4.45E+07	0	1.19E+07	0	0	9101670	0	0	0	0	0	0	0	1.34E+07	0	0	6.43E+07	0	2523400	0	0	4636220	1060340	0	2160700	3434930	0	0	0	0	0	0	0	0	2.88E+07	0	1.39E+07	0	7402120	0	1338890	0	3.91E+07	0	0	1873260	0	6572970	0	0	0	0	0	6642840	2581000	8288140	0	0	0	0	0	2079040	0	0	0	0	0	1.69E+07	0	0	0	0	0	564158	0	0	4621690	0	0	8.73E+07
